"No.","Time","Source","Destination","Protocol","Length","Channel frequency","Data rate (Mb/s)","Channel","Channel","Transmitter address","Destination address","Type/Subtype","Info"
"2832","3.824577","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2833","3.825490","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2834","3.826402","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2835","3.827440","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2836","3.828309","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2837","3.829287","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2838","3.830257","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2839","3.831315","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2840","3.832330","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2841","3.833247","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2842","3.834301","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2843","3.835174","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"3084","4.115277","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=........C"
"3085","4.115968","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3086","4.116477","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3087","4.117012","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3088","4.117607","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3089","4.118244","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3090","4.118920","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3091","4.119522","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3092","4.120048","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3093","4.120671","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3094","4.121265","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3095","4.121842","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3096","4.122500","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3097","4.123012","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3098","4.123645","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3099","4.124274","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1390, FN=0, Flags=....R...C"
"3407","4.715049","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=........C"
"3408","4.715640","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3410","4.716794","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3412","4.719613","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3413","4.720242","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3414","4.720844","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
